No;Merek (Company);Nama Produk (Product Name);Tipe Laptop (TypeName);Ukuran Layar (Inches);Merek CPU (CPU_Company);Tipe CPU (CPU_Type);Freq. CPU (GHz);RAM (GB);Storage (Memory);Merek GPU (GPU_Company);Tipe GPU (GPU_Type);OS (OpSys);Berat (kg);Harga (Rp)
14;Apple;"Apple MacBook Air 13.6"" M3";Ultrabook;13.6;Apple;M3;4.05;24;512GB SSD;Apple;M3 GPU 10-Core;macOS;1.24;25999000
15;Apple;"Apple MacBook Air 13.3"" M1";Ultrabook;13.3;Apple;M1;3.2;8;256GB SSD;Apple;M1 GPU 7-Core;macOS;1.29;15999000
16;Asus;ASUS TUF Gaming A15 FA506NF-R525B6T-OM;Gaming;15.6;AMD;Ryzen 5 7535HS;3.3;16;512GB SSD;Nvidia;GeForce RTX 2050;Windows 11 Home;2.3;12000000
17;Asus;ASUS TUF Gaming A15 FA506NFR-R725B1T-OM;Gaming;15.6;AMD;Ryzen 7 7435HS;3.1;8;512GB SSD;Nvidia;GeForce RTX 2050;Windows 11 Home;2.3;11399000
18;Asus;ASUS Zenbook 14 OLED UX3405MA-OLEDS713;Ultrabook;14.0;Intel;Core Ultra 7 155H;1.4;32;1TB SSD;Intel;Intel Arc Graphics;Windows 11 Home;1.2;22299000
19;Lenovo;Lenovo Yoga 7 2-in-1 14AHP9-83DK00AKID;2-in-1;14.0;AMD;Ryzen 5 8640HS;3.5;16;512GB SSD;AMD;Radeon 760M;Windows 11 Home;1.49;15099000
20;Lenovo;Lenovo Yoga 7 14APH9-0TID;2-in-1;14.0;AMD;Ryzen 7 8840HS;3.3;16;1TB SSD;AMD;Radeon 780M;Windows 11 Home;1.49;17750000
21;Acer;Acer Nitro V 15 ANV15-51-51U8;Gaming;15.6;Intel;Core i5-13420H;2.1;8;512GB SSD;Nvidia;GeForce RTX 2050;Windows 11 Home;2.11;10999000
22;Acer;Acer Nitro V 15 ANV15-51-5115;Gaming;15.6;Intel;Core i5-13420H;2.1;8;512GB SSD;Nvidia;GeForce RTX 4050;Windows 11 Home;2.11;16499000
23;MSI;MSI Modern 14 C12MO-1283ID;Notebook;14.0;Intel;Core i5-1235U;1.3;8;512GB SSD;Intel;Intel Iris Xe Graphics;Windows 11 Home;1.4;10499000
24;MSI;MSI Cyborg 15 A12VE-490ID;Gaming;15.6;Intel;Core i5-12450H;2.0;16;512GB SSD;Nvidia;GeForce RTX 4060;Windows 11 Home;1.98;18299000
25;Dell;Dell Vostro 3430;Notebook;14.0;Intel;Core i5-1335U;1.3;8;512GB SSD;Intel;Intel Iris Xe Graphics;Windows 11 Home;1.44;12190000
26;HP;HP Pavilion x360 14-EK2123TU;2-in-1;14.0;Intel;Core 3 100U;1.2;8;512GB SSD;Intel;Intel UHD Graphics;Windows 11 Home;1.51;11699000
27;Asus;ASUS Vivobook Go 14 E1404GA-FHD3821M;Notebook;14.0;Intel;Core i3-N305;1.8;8;512GB SSD;Intel;Intel UHD Graphics;Windows 11 Home;1.38;6449000
28;Lenovo;Lenovo IdeaPad Slim 1 14IGL7;Notebook;14.0;Intel;Celeron N4020;1.1;8;512GB SSD;Intel;Intel UHD Graphics 600;Windows 11 Home;1.4;4999000
29;Acer;Acer Aspire 3 Slim A314-23M-R24X;Notebook;14.0;AMD;Ryzen 3 7320U;2.4;8;512GB SSD;AMD;AMD Radeon Graphics;Windows 11 Home;1.4;6999000
30;MSI;MSI Thin 15 B12UC-2411ID;Gaming;15.6;Intel;Core i5-12450H;2.0;8;512GB SSD;Nvidia;GeForce RTX 3050;Windows 11 Home;1.86;18582000
